10 hit movies~fides_delim~https://www.imdb.com/chart/top/~fides_delim~IMDb Top 250 Movies~fides_delim~~fides_delim~totalcount
10 hit movies~fides_delim~https://www.the-numbers.com/box-office-records/worldwide/all-movies/cumulative/all-time~fides_delim~All Time Worldwide Box Office - The Numbers~fides_delim~~fides_delim~totalcount
10 hit movies~fides_delim~https://www.boxofficemojo.com/chart/top_lifetime_gross/?area=XWW~fides_delim~Top Lifetime Grosses - Box Office Mojo~fides_delim~~fides_delim~totalcount
10 hit movies~fides_delim~https://www.filmsite.org/boxoffice.html~fides_delim~Box-Office Top 100 Films of All-Time - Filmsite.org~fides_delim~Avatar (2009) · Avengers: Endgame (2019) · Titanic (1997) · Star Wars: Episode VII - The Force Awakens (2015) · Avengers: Infinity War (2018) · Spider-Man: No Way ...~fides_delim~totalcount
10 hit movies~fides_delim~https://www.imdb.com/list/ls055592025/~fides_delim~Top 100 Greatest Movies of All Time (The Ultimate List) - IMDb~fides_delim~1. The Godfather (1972). R | 175 min | Crime, Drama · 2. The Shawshank Redemption (1994). R | 142 min | Drama · 3. Schindler's List (1993) · 4. Raging Bull (1980).~fides_delim~totalcount
10 hit movies~fides_delim~https://collider.com/imdbs-top-movies-ranked-by-rotten-tomatoes/~fides_delim~IMDb&#39;s Top 10 Movies Ranked By Rotten Tomatoes - Collider~fides_delim~IMDb's <em>Top 10 Movies</em> Ranked By Rotten Tomatoes, From 'The Godfather' To 'Pulp Fiction' · <em>10</em> 'The Lord of the Rings: The Fellowship of the Ring' ( ...~fides_delim~totalcount
10 hit movies~fides_delim~https://www.usatoday.com/story/entertainment/movies/2022/10/19/highest-grossing-movie-all-time/8062601001/~fides_delim~What is the highest grossing movie of all time ... - USA Today~fides_delim~<em>Top 10</em> highest grossing <em>films</em> of all time · Avatar (2009), $2.9 billion · Avengers: Endgame (2019), $2.7 billion · Titanic (1997), $2.19 billion ...~fides_delim~totalcount
10 hit movies~fides_delim~https://editorial.rottentomatoes.com/article/highest-grossing-movies-all-time/~fides_delim~The 50 Highest-Grossing Movies of All Time: Your Top Box ...~fides_delim~It held onto its impressive global record for nearly <em>10</em> years, until Avengers: Endgame came along and snatched the crown. But with Avatar 2 ...~fides_delim~totalcount
10 hit movies~fides_delim~https://editorial.rottentomatoes.com/guide/popular-movies/~fides_delim~30 Most Popular Movies Right Now - Rotten Tomatoes~fides_delim~Discover the <em>top</em>, most popular <em>movies</em> available now! Across theaters, streaming, and on-demand, these are the <em>movies</em> Rotten Tomatoes users are checking out ...~fides_delim~totalcount
10 hit movies~fides_delim~https://en.wikipedia.org/wiki/List_of_highest-grossing_films~fides_delim~List of highest-grossing films - Wikipedia~fides_delim~There is strong interest in the superhero genre, with <em>ten films</em> in the Marvel Cinematic Universe featuring among the nominal <em>top</em>-earners.~fides_delim~totalcount
10 hit movies~fides_delim~https://www.euronews.com/culture/2022/12/27/the-10-biggest-movies-of-2022-at-the-global-box-office~fides_delim~The 10 biggest movies of 2022 at the global box office~fides_delim~The <em>10</em> biggest <em>movies</em> of 2022 at the global box office ; 1) <em>Top</em> Gun: Maverick ($1.489bn / approx. €1.4bn) ; 2) Jurassic World: Dominion ($1.003bn ...~fides_delim~totalcount
10 hit movies~fides_delim~https://www.pastemagazine.com/movies/in-theaters/the-10-best-movies-in-theaters-right-now/~fides_delim~The 10 Best Movies in Theaters Right Now - Paste Magazine~fides_delim~The <em>10</em> Best <em>Movies</em> in Theaters Right Now · <em>10</em>. Black Panther: Wakanda Forever · 9. The Menu · 8. M3GAN · 7. Skinamarink · 6. Avatar: The Way of Water.~fides_delim~totalcount
10 hit movies~fides_delim~https://screenrant.com/best-movies-of-all-time-ranked-imdb/~fides_delim~The 50 Best Movies Of All Time - Screen Rant~fides_delim~The 50 Best <em>Movies</em> Of All Time · 50 My Left Foot (1989) · 49 The Wild Bunch (1969) · 48 Jules And Jim (1962) · 47 A Separation (2011) · 46 Double ...~fides_delim~totalcount
